Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
49,1,0,0,21,3,3,1,1,3,3,5,1,0,10654,6,0,3,1,2,31,4,2,4,3,11,9
41,0,0,1,14,5,2,2,1,2,1,2,2,1,17866,0,0,3,1,0,27,1,2,4,3,3,8
40,0,1,1,12,1,1,1,0,1,2,5,3,2,18633,0,0,3,2,0,23,1,3,10,8,7,14
49,0,0,0,23,2,0,1,1,1,2,5,2,1,18014,9,0,4,2,2,35,6,4,1,1,10,6
54,0,0,1,10,1,5,4,1,4,1,0,4,1,15996,1,0,3,4,1,35,4,4,4,4,10,0
29,0,0,1,22,1,3,2,0,4,4,8,2,2,17336,9,0,4,1,0,13,2,1,3,1,9,14
30,1,0,0,20,2,0,2,0,4,1,7,1,0,9853,2,0,4,1,1,15,2,4,6,3,10,1
40,0,1,1,15,4,4,2,1,3,2,1,4,1,12695,0,0,4,4,1,25,2,2,40,16,13,1
42,0,0,0,7,1,2,1,0,1,4,1,1,2,3852,4,0,3,4,3,22,0,4,10,6,1,9
52,0,0,1,26,1,0,2,0,2,3,4,3,1,17014,2,0,4,4,1,38,1,1,3,0,6,14
58,1,0,1,9,1,2,2,1,3,1,1,1,0,1987,0,1,3,3,3,40,5,2,12,11,4,9
47,1,0,1,10,4,4,4,0,3,4,0,1,0,8622,7,0,3,4,1,27,4,4,1,0,10,12
34,0,0,1,10,3,0,3,0,2,4,1,2,0,10160,5,0,3,4,3,19,5,4,0,0,5,10
37,0,0,1,16,5,0,3,1,2,4,4,1,0,18484,8,0,4,3,0,21,0,3,1,0,2,1
42,0,0,1,29,5,5,2,1,4,1,6,4,1,7652,2,0,3,1,2,24,4,1,2,2,10,12
39,1,0,1,7,4,4,2,1,2,3,4,4,0,8421,8,1,3,2,2,20,5,4,5,5,9,0
30,0,0,1,28,1,1,2,0,2,4,0,3,0,1769,8,0,3,1,3,12,6,3,6,2,6,4
36,0,0,1,5,5,0,2,0,2,1,6,4,1,18727,0,0,3,2,0,17,0,2,16,3,6,6
53,0,0,1,23,4,5,3,1,2,2,5,2,1,15114,2,0,3,2,3,39,0,3,4,3,1,12
29,0,0,1,3,2,0,4,0,4,1,6,3,1,5358,5,0,4,4,3,12,0,3,4,0,0,12
58,0,0,0,18,5,5,1,0,3,1,1,4,1,12543,7,1,3,4,0,38,4,4,0,0,9,5
36,1,0,0,11,2,3,2,0,1,1,4,2,0,19733,3,1,4,3,1,16,5,4,0,0,1,11
29,0,0,1,15,1,1,2,0,1,4,7,4,0,6699,4,0,3,1,1,12,5,4,5,5,11,7
26,0,2,0,21,5,0,3,1,3,1,6,4,0,18625,8,0,4,1,0,10,3,3,4,0,7,8
24,1,0,1,20,4,4,2,1,1,2,5,1,1,2125,5,0,3,2,3,7,0,2,12,12,10,10
45,1,1,1,5,3,2,4,0,1,4,5,4,0,11793,6,1,3,4,2,31,2,1,1,1,9,10
31,0,1,1,24,5,4,4,0,3,2,0,4,1,7764,6,0,3,4,3,16,1,3,0,0,2,14
48,0,2,1,12,5,1,2,0,1,5,0,2,0,13323,3,0,3,1,1,31,6,4,4,1,10,8
36,0,0,1,4,5,3,3,1,1,1,6,2,2,14031,3,0,3,3,0,17,6,1,1,0,3,2
33,1,1,1,15,5,3,2,1,3,4,2,1,1,15052,3,1,3,4,0,18,3,2,0,0,7,16
22,0,2,0,9,4,3,2,1,1,4,5,4,1,13640,4,0,3,3,0,5,3,1,9,9,2,16
52,0,0,1,7,4,5,3,1,2,1,4,1,2,8843,4,0,3,1,1,32,4,4,0,0,5,2
29,0,0,0,10,3,4,4,1,3,3,2,4,1,15210,7,0,3,1,3,11,3,3,6,6,1,8
42,0,0,1,29,4,2,1,0,4,3,5,3,1,17456,8,0,3,3,0,23,5,3,2,2,2,16
38,0,0,1,28,4,2,2,0,1,2,2,3,2,11106,1,0,3,4,2,24,4,4,1,0,0,14
53,0,0,1,23,1,5,4,1,4,1,7,1,1,6189,6,0,3,1,0,34,4,3,3,3,8,0
40,0,0,1,13,1,0,2,1,1,1,6,1,2,3472,0,0,3,2,3,24,6,4,11,9,3,9
33,1,1,0,29,2,5,1,0,2,5,8,1,1,18091,0,1,4,1,1,15,6,3,3,1,5,7
56,0,0,1,8,3,2,3,1,3,3,4,2,2,19188,3,0,3,4,2,37,2,3,9,9,14,9
59,0,1,0,12,1,2,4,0,4,3,0,2,0,7704,9,1,3,2,2,40,0,3,0,0,6,1
56,0,0,1,22,3,0,1,1,3,1,7,2,0,4713,6,0,3,1,0,37,3,2,10,6,1,13
31,1,0,1,24,3,4,2,0,4,2,1,1,1,6051,1,0,3,4,3,12,0,2,1,1,7,7
48,0,0,1,19,5,4,1,1,1,1,5,4,0,11756,1,0,3,4,0,29,0,4,7,7,11,0
22,0,0,1,26,3,1,4,0,2,2,0,3,0,3475,0,0,3,1,2,6,0,2,5,0,8,15
52,1,1,2,26,5,4,3,0,4,3,5,1,0,4610,9,1,3,4,0,33,4,4,18,13,13,14
40,0,0,0,1,2,3,2,1,4,5,3,2,1,5255,1,0,4,3,3,21,0,1,3,2,9,4
46,0,0,1,16,2,3,3,1,2,4,4,2,2,15484,6,0,3,2,1,30,3,1,0,0,10,2
28,1,2,2,22,2,1,3,1,2,3,6,1,1,2735,8,1,3,3,2,13,4,2,0,0,1,16
35,0,0,1,17,5,2,1,1,2,2,5,1,2,9258,5,0,3,1,3,17,3,1,12,12,4,9
29,1,1,1,25,5,1,1,1,2,1,0,2,1,8979,9,1,4,3,0,15,4,1,5,1,1,4
26,0,0,2,18,2,0,4,0,2,3,8,4,0,3428,1,0,3,1,2,11,1,3,10,0,10,10
27,0,0,1,11,5,1,4,1,3,5,5,2,0,13345,9,0,3,1,0,7,1,3,1,0,4,5
34,0,0,0,18,4,1,3,1,1,2,5,2,1,8426,9,1,3,4,0,18,1,4,2,2,6,3
55,0,2,1,7,4,5,4,1,1,1,8,1,1,9533,8,0,3,4,1,39,1,1,0,0,5,6
24,1,0,1,18,5,3,3,1,4,4,4,4,0,6249,6,1,4,1,0,5,4,4,22,14,3,6
30,1,1,1,26,5,0,2,0,2,2,5,2,1,10686,0,1,3,2,0,11,0,4,7,7,13,13
57,1,2,1,8,1,5,3,1,3,1,5,2,1,15109,8,1,3,2,3,40,2,1,18,5,1,16
59,0,0,1,6,1,0,4,1,3,4,6,3,1,1661,1,0,3,2,0,39,6,2,2,1,6,16
26,0,0,0,7,3,1,4,1,4,1,8,1,2,13075,3,0,3,3,1,7,5,1,6,5,11,12
44,0,1,1,23,3,5,3,1,2,4,4,3,1,15788,8,0,3,1,0,27,2,3,7,0,9,0
19,1,0,0,22,3,5,1,0,1,4,4,3,1,11060,3,1,3,4,0,0,1,1,2,0,8,1
22,0,0,2,10,2,0,3,0,2,4,3,2,2,16836,2,1,3,3,0,3,0,2,13,10,0,3
46,0,0,2,11,4,0,3,0,3,1,3,1,0,11526,0,0,3,3,2,29,3,4,20,1,2,12
54,0,1,1,25,2,4,1,0,2,4,7,4,1,4374,6,0,3,4,1,34,0,4,15,8,6,0
55,0,1,1,13,5,0,2,0,1,2,1,2,2,1207,5,0,3,1,2,38,3,3,9,1,14,3
36,0,0,0,9,1,5,1,1,1,5,7,4,1,3665,9,1,3,3,1,20,2,3,2,2,13,1
25,0,0,1,7,5,2,4,0,4,5,1,4,2,19877,3,0,3,1,1,8,0,3,2,1,8,3
18,1,2,0,9,5,0,1,0,3,4,0,1,1,1632,5,0,3,1,3,0,0,4,23,17,12,15
39,0,0,0,13,1,3,4,1,2,5,8,3,1,4083,5,0,3,1,2,23,5,3,0,0,4,3
34,1,1,1,26,5,4,4,0,2,5,7,1,0,14711,3,0,3,4,1,15,2,1,8,4,6,8
24,0,0,0,3,3,3,3,0,4,4,5,4,2,11123,5,1,4,1,1,10,0,4,8,1,14,16
42,0,1,2,3,1,3,3,0,4,4,3,2,2,8123,9,0,3,3,3,26,3,2,6,3,9,1
21,0,2,1,1,5,2,2,0,4,2,1,4,2,11754,7,0,4,4,2,1,6,4,32,3,6,2
53,0,0,1,21,3,4,4,1,3,3,7,2,1,2679,2,0,4,4,0,33,0,1,2,2,3,14
23,0,0,1,20,3,1,3,0,2,1,2,2,0,16901,3,0,3,3,3,6,3,1,2,2,4,6
48,1,0,1,2,4,5,4,0,4,4,3,1,0,1236,9,0,3,4,1,32,1,3,0,0,1,3
36,0,0,1,25,3,5,2,0,3,4,4,4,2,8446,0,0,3,3,2,17,0,4,4,2,7,11
56,0,0,1,3,2,0,4,0,2,5,3,3,1,5443,3,1,3,2,1,36,3,4,2,2,11,0
44,0,0,0,15,1,5,2,0,1,2,7,4,0,16463,9,0,4,3,3,29,6,4,2,0,14,16
27,0,0,1,24,1,2,2,1,4,5,8,4,1,9555,9,0,3,4,3,8,2,2,12,5,14,3
43,0,0,1,6,1,5,2,0,3,4,0,3,1,19752,8,0,3,3,2,28,1,3,19,12,0,3
36,0,1,2,13,5,2,3,0,2,4,1,1,1,17669,7,0,3,2,3,18,0,1,1,0,1,8
56,1,0,0,21,5,1,1,1,2,5,3,4,1,1148,3,1,4,1,3,40,5,1,3,1,11,9
20,0,0,0,1,2,2,1,1,4,4,0,4,1,14395,6,0,3,1,0,0,3,3,18,13,2,14
30,0,0,1,20,3,1,3,0,4,3,5,2,2,5895,9,0,3,1,1,13,6,1,0,0,6,16
45,1,1,1,19,5,1,4,1,2,1,4,4,0,18396,2,1,3,4,0,27,5,1,0,0,5,6
37,0,0,1,1,3,1,3,0,3,1,6,3,1,12023,8,0,3,2,0,21,0,3,1,1,13,2
45,0,0,1,28,3,2,4,0,1,1,5,2,1,11699,9,0,3,3,2,26,3,1,6,3,6,4
25,0,0,1,21,5,1,2,0,2,3,2,1,2,10715,3,0,3,3,3,5,0,4,1,0,10,15
58,0,1,1,22,5,2,3,0,3,4,4,2,1,17163,1,0,3,3,1,40,1,2,24,11,4,6
56,0,1,0,2,2,4,1,1,4,5,2,3,1,6782,9,0,3,3,1,38,6,3,4,1,13,15
18,0,0,1,15,4,1,4,1,2,2,8,3,1,19792,4,0,3,4,1,0,6,2,4,1,3,8
20,0,0,0,14,1,2,3,1,4,4,1,2,1,17724,1,0,3,4,3,4,1,1,1,0,14,0
30,0,0,1,19,5,2,3,1,1,3,5,1,2,3817,9,0,3,2,1,14,0,1,4,0,14,2
45,0,1,1,11,5,2,4,0,4,3,8,2,2,16096,5,0,3,3,1,28,0,4,7,2,6,7
42,0,0,1,15,3,0,2,0,1,1,6,1,1,19880,9,0,3,1,3,28,4,3,9,1,2,6
50,0,0,1,6,4,0,2,0,4,4,4,2,1,6299,0,0,3,4,2,35,0,1,9,5,12,5
55,1,0,0,20,5,1,2,1,4,1,1,3,0,10917,5,1,3,2,1,39,6,3,6,1,9,10
23,0,1,1,9,4,5,2,0,1,2,1,4,1,19073,3,0,3,2,3,6,0,3,16,7,6,4
49,0,0,1,5,1,4,4,0,4,1,3,4,1,4267,2,1,3,4,0,34,5,3,11,4,1,11
38,0,0,1,20,3,5,1,0,3,2,1,1,1,5406,1,0,3,1,3,20,5,3,9,4,11,0
33,0,0,1,2,2,1,3,1,4,3,7,1,0,18826,6,0,3,1,0,13,1,3,0,0,11,10
38,0,0,1,6,1,3,3,1,2,1,6,1,2,11382,8,0,3,3,3,22,5,2,0,0,7,14
28,0,0,0,26,4,3,2,1,4,1,6,3,1,5437,2,0,3,4,1,11,0,4,1,1,11,15
54,0,0,1,18,4,4,4,1,3,5,2,2,1,6435,5,0,3,1,2,36,2,3,7,0,5,2
53,0,0,0,28,1,4,1,0,2,3,6,3,0,5107,8,0,4,4,2,37,0,2,3,1,11,10
52,1,0,1,29,4,4,1,0,3,5,7,4,1,1560,1,1,3,2,1,33,6,1,3,1,14,10
36,1,0,1,23,2,0,3,0,2,2,4,1,2,13329,6,1,3,2,0,22,4,3,15,12,2,9
37,0,0,1,19,2,0,2,0,4,2,0,2,1,2826,4,0,4,2,3,19,3,1,15,8,2,1
35,0,0,1,9,4,3,3,1,3,3,0,4,1,12421,4,0,3,4,1,19,6,3,16,5,4,4
58,1,0,0,27,4,4,3,0,4,2,3,4,0,13265,6,1,4,3,3,40,1,2,2,2,2,7
31,0,0,1,21,2,2,1,0,2,3,1,4,1,8629,8,0,3,3,1,11,5,2,8,6,5,12
32,0,0,0,24,4,5,4,1,3,2,6,3,2,9325,3,0,3,1,1,12,2,2,2,1,1,14
48,1,0,0,27,5,3,1,0,1,4,2,1,1,8693,8,1,3,4,3,34,6,4,1,0,7,1
18,0,0,1,6,3,4,3,0,3,1,3,4,2,9264,9,0,3,3,2,0,3,1,1,0,12,11
20,0,0,0,14,5,2,2,1,4,4,8,1,2,13686,8,0,3,4,2,5,2,4,2,1,10,7
33,1,2,0,28,4,4,2,1,1,3,1,3,2,14716,3,1,3,3,0,14,1,3,3,2,11,0
40,0,0,1,26,4,1,4,0,1,3,7,4,2,7721,2,0,3,2,3,20,5,1,12,3,10,7
28,0,0,1,24,3,2,4,0,2,4,0,3,0,8373,1,0,4,2,0,9,4,2,0,0,8,9
29,0,0,0,29,4,5,4,0,1,1,2,3,2,6907,8,0,3,1,1,9,6,1,9,9,12,12
27,1,0,1,13,3,1,3,0,1,1,3,1,0,17127,1,0,3,2,0,12,6,2,5,3,14,4
49,0,0,1,11,2,0,3,0,2,5,5,4,0,6656,5,0,3,3,1,31,6,4,2,1,6,8
33,0,1,1,12,3,3,4,1,3,2,0,3,0,9984,4,0,3,1,3,17,1,4,4,3,13,9
25,0,0,1,19,3,4,2,0,4,5,7,4,1,9286,4,1,3,1,3,9,2,2,2,0,2,13
55,0,0,1,19,5,3,2,0,3,1,1,1,1,6901,3,0,3,2,3,35,2,2,6,3,10,10
29,0,1,1,21,4,5,2,0,1,4,4,3,1,5917,5,0,3,4,3,13,1,3,3,0,13,13
41,1,0,1,27,2,4,3,0,4,2,5,1,0,9429,4,1,3,2,0,21,6,4,1,0,9,2
45,0,0,0,26,1,1,1,0,3,4,7,4,1,15716,3,0,4,2,1,25,0,4,0,0,3,15
25,0,0,1,19,3,2,2,0,4,5,2,4,1,16795,8,0,3,1,2,11,1,3,5,2,11,16
45,0,0,2,24,1,2,2,0,1,3,8,1,1,12138,5,0,3,2,3,28,5,4,16,1,9,4
53,0,0,1,26,4,4,2,0,3,4,4,2,0,3530,9,0,3,3,3,36,5,2,2,1,1,6
43,0,0,0,13,3,1,4,0,4,5,7,3,0,19344,9,0,3,1,1,29,4,1,9,8,8,16
25,0,0,1,28,1,4,3,1,4,5,3,4,0,18432,9,0,3,2,2,8,1,1,7,7,13,10
45,0,1,1,14,5,4,4,1,3,5,8,4,0,6772,2,0,3,4,3,26,3,4,18,9,4,11
45,0,1,1,24,1,4,4,0,3,3,7,3,1,16476,9,0,4,3,2,28,5,3,12,10,11,1
54,0,1,1,18,5,2,1,0,1,3,4,1,1,19913,5,0,3,4,3,34,5,2,5,4,1,4
58,0,1,1,12,2,5,4,0,2,3,2,1,1,16751,0,0,3,3,0,40,5,1,7,0,9,10
53,0,0,0,4,4,4,1,0,4,2,0,1,1,3964,4,0,3,4,0,38,0,2,16,13,5,6
44,0,0,1,10,1,2,4,0,3,3,4,2,1,8137,9,0,3,2,2,26,3,4,3,0,6,5
34,0,0,1,29,3,0,2,0,3,3,4,2,2,18347,5,0,3,3,1,17,6,4,2,2,12,10
26,0,1,0,17,4,1,3,1,3,3,3,4,0,17920,7,0,3,1,1,11,6,1,0,0,1,13
50,1,0,1,4,1,0,4,0,4,4,7,1,2,14891,8,1,3,1,0,33,1,4,12,8,14,3
37,0,0,1,12,3,4,1,1,1,3,2,3,1,8340,2,0,3,4,1,19,0,3,11,3,0,7
30,0,1,1,13,3,2,3,1,2,2,8,4,0,8967,1,0,3,4,1,15,5,4,0,0,12,8
45,0,1,1,29,3,1,1,1,4,5,2,3,2,13415,3,1,3,4,1,25,6,4,6,1,6,1
46,0,1,0,27,3,3,2,1,1,4,3,4,1,12871,7,0,3,3,2,27,3,4,4,2,0,10
30,0,0,0,29,1,1,4,1,4,1,5,2,1,12916,7,0,3,1,2,16,6,2,0,0,2,6
52,0,0,0,4,2,1,3,1,4,3,8,4,1,9734,2,0,3,2,1,38,3,2,27,0,3,3
23,1,0,1,10,5,4,2,1,3,5,1,2,1,1845,3,1,3,3,0,9,0,1,1,0,1,13
35,0,0,1,25,5,0,4,1,1,5,1,4,0,3494,2,0,3,4,1,18,6,1,0,0,6,0
22,0,0,1,3,5,0,4,1,3,4,1,1,0,13677,9,0,3,1,3,7,5,1,6,0,4,11
42,0,0,1,15,2,3,1,0,3,1,4,3,2,19268,1,1,3,4,0,27,0,4,9,0,0,4
19,0,0,0,2,3,4,1,0,1,2,5,1,2,13330,3,0,4,2,2,1,2,2,0,0,11,7
27,0,0,0,25,3,1,2,1,3,5,2,4,0,6179,5,0,3,2,3,7,5,3,7,5,11,10
47,0,0,1,25,4,5,1,1,3,5,2,4,2,7610,4,0,4,1,1,31,0,4,5,2,7,3
22,0,1,0,17,5,0,2,1,2,5,1,4,1,7430,2,0,3,3,1,7,1,4,0,0,9,14
50,0,0,0,6,5,0,2,0,1,5,5,2,0,8154,1,0,3,2,0,31,6,4,1,0,6,11
18,0,0,1,26,3,2,2,0,1,4,0,3,1,14828,8,0,3,2,0,0,5,3,5,4,3,9
35,0,0,1,8,5,1,1,1,3,1,8,3,1,11145,0,1,3,2,1,20,4,1,2,2,1,15
49,0,0,1,3,3,4,3,1,3,5,3,4,1,7488,8,1,4,2,1,34,5,3,19,1,14,7
28,0,0,1,27,3,0,2,1,1,2,1,4,2,4850,0,0,3,4,0,10,2,1,11,7,6,7
38,0,1,1,25,3,4,3,1,1,2,5,2,0,18073,6,0,3,4,3,20,0,3,28,21,10,5
43,0,1,1,18,1,1,4,1,4,3,4,1,1,14564,5,0,3,3,2,26,4,2,2,0,1,2
42,1,0,0,22,1,1,1,1,1,5,2,1,1,6078,6,1,3,1,0,27,2,4,24,14,5,7
39,1,1,2,1,1,0,1,0,4,5,2,3,2,13168,2,1,3,1,3,23,1,4,3,1,0,9
44,0,0,0,29,1,3,3,0,3,5,4,2,0,6448,2,0,3,1,1,25,5,4,2,0,13,4
30,0,0,0,16,2,4,4,0,2,5,3,4,1,18563,0,0,3,2,2,10,6,1,0,0,6,10
50,0,0,0,7,4,4,4,1,2,5,4,3,2,10074,3,0,4,4,3,30,4,3,0,0,6,3
51,0,1,2,3,4,2,2,1,4,2,1,2,0,7406,1,0,3,4,2,35,6,2,8,2,11,16
58,0,0,2,23,3,1,1,0,3,1,0,1,1,9800,9,0,3,3,2,40,0,3,4,2,3,2
52,0,0,1,4,5,1,4,0,3,1,4,2,2,15083,7,1,3,1,2,34,0,4,1,1,3,7
18,1,0,1,9,1,0,4,1,3,3,0,1,0,2638,2,0,4,4,3,0,1,2,6,5,14,11
38,0,0,1,5,4,0,2,0,1,2,2,2,2,11340,6,0,3,3,3,23,2,2,2,0,9,15
23,0,0,2,19,4,0,2,0,3,5,7,3,0,2382,6,0,3,1,1,5,4,4,6,0,4,13
45,1,0,1,15,1,2,3,0,1,1,7,1,0,2403,8,0,4,2,2,27,1,3,3,0,1,15
34,1,0,1,8,2,3,1,0,4,4,8,3,0,10011,5,1,3,4,0,19,2,4,12,11,8,3
22,1,0,1,6,2,0,4,1,2,4,0,3,0,4292,0,1,3,4,0,7,3,3,12,8,9,0
48,0,0,1,18,4,0,3,1,4,4,3,1,0,10011,7,0,3,1,0,32,3,2,4,2,3,0
22,1,0,1,19,2,5,1,1,3,5,5,1,1,1419,0,0,4,2,3,5,2,2,3,3,10,14
55,1,0,0,24,1,0,3,1,3,5,6,4,0,13411,2,1,4,2,1,40,0,4,3,3,8,2
20,1,1,1,15,4,2,1,0,4,3,4,4,2,5517,4,1,3,4,3,1,0,2,11,11,13,13
40,1,0,1,26,1,4,1,0,1,3,6,4,1,16422,7,1,3,1,2,22,3,1,2,1,2,8
54,0,0,1,7,2,3,4,0,1,3,7,3,1,10700,8,0,3,3,0,37,0,2,1,0,8,7
54,0,0,1,10,1,4,1,1,1,4,5,3,1,6693,6,1,3,4,3,34,6,1,0,0,0,1
27,0,0,1,6,2,5,2,1,2,5,3,4,1,1767,8,0,4,2,0,11,0,2,4,3,6,3
27,0,2,1,14,2,1,4,1,2,4,0,3,1,19428,2,0,4,3,3,10,2,4,4,3,3,0
36,0,0,1,17,1,1,2,1,3,3,4,3,0,15818,4,0,3,1,0,21,5,4,12,5,6,10
34,1,0,1,9,2,0,3,0,4,5,3,1,2,2549,9,1,3,2,2,16,2,1,1,1,13,4
38,0,0,2,19,3,5,3,1,4,2,4,1,1,10956,7,0,3,3,0,20,0,4,3,0,9,1
31,1,0,1,5,1,4,1,0,3,1,3,3,0,7140,0,1,3,4,2,13,2,2,11,6,14,12
26,0,0,0,23,3,2,1,0,1,1,8,4,1,11837,7,0,3,2,2,9,4,2,12,4,5,16
18,0,2,1,7,1,3,2,0,2,3,2,2,1,4716,6,0,3,1,3,0,3,4,3,0,3,16
30,0,1,0,19,2,4,2,1,4,4,2,4,0,5481,0,0,3,2,3,15,5,2,4,0,3,8
21,0,0,1,20,2,5,2,1,3,2,6,2,2,7548,9,0,3,4,3,4,4,3,2,0,7,5
18,0,0,0,26,4,5,3,0,1,5,1,4,1,19677,9,0,3,1,2,0,4,3,18,12,6,2
57,0,1,1,7,4,4,2,0,1,4,8,1,1,5837,5,0,4,4,1,37,0,2,0,0,3,7
49,0,0,0,24,3,3,4,1,2,3,7,3,1,8758,0,0,4,3,1,29,0,4,19,16,10,2
51,0,0,0,2,2,4,4,1,2,4,5,3,2,11900,1,0,3,2,2,32,4,1,8,1,5,0
45,1,0,1,25,4,4,3,1,3,3,8,1,0,8993,4,0,3,4,2,27,4,4,5,1,5,12
48,0,0,1,23,2,3,2,1,3,1,2,2,1,6542,1,0,3,3,3,30,1,1,0,0,0,4
25,0,0,0,16,1,2,2,0,1,1,3,2,0,15828,9,0,4,1,3,8,1,4,4,2,12,15
56,0,0,1,13,4,5,1,0,1,4,6,2,1,17052,0,0,3,1,3,39,6,2,3,1,1,15
43,1,2,1,8,3,3,4,0,4,2,0,1,0,3385,5,0,3,3,1,29,3,3,1,1,3,11
51,0,0,0,6,4,0,3,0,1,5,0,2,0,15308,7,0,3,3,1,33,4,4,7,2,5,12
20,1,1,1,6,2,0,2,0,3,3,0,1,2,1671,7,1,3,1,2,1,2,1,24,1,5,3
29,0,0,1,9,5,0,1,0,2,5,7,4,1,1163,7,0,3,4,1,11,5,3,5,3,0,8
18,0,0,1,4,5,0,3,1,3,1,5,4,1,9656,5,1,3,3,3,3,1,1,8,1,7,15
22,1,0,1,27,2,1,3,0,4,2,2,1,1,12234,2,0,3,4,3,5,0,2,0,0,1,0
47,0,0,1,11,1,2,4,1,4,2,6,3,1,5795,0,0,4,1,3,29,4,3,3,1,12,4
47,1,0,0,5,4,1,2,1,2,5,5,4,0,11634,1,1,3,4,3,30,2,1,0,0,4,4
34,0,1,1,25,5,4,3,0,3,1,4,2,0,5798,4,0,3,4,3,16,5,4,6,6,3,8
40,0,0,0,17,1,4,1,1,4,5,2,1,2,19739,9,0,3,3,0,24,2,2,19,3,4,7
32,0,0,1,20,2,3,1,0,3,4,3,2,1,11749,4,1,3,4,2,15,6,2,7,0,4,14
54,0,1,0,7,1,0,3,0,4,2,0,2,1,6827,9,0,3,4,2,35,2,2,0,0,14,3
38,1,1,1,27,2,3,1,1,2,2,8,3,2,5719,0,1,3,4,1,22,0,4,3,1,9,14
31,1,0,1,15,4,4,3,1,4,4,4,2,1,1593,0,1,3,1,3,16,1,4,5,3,7,12
19,0,0,1,25,1,0,1,1,3,1,1,3,0,8394,8,0,4,1,0,1,2,3,3,1,9,4
28,0,1,1,15,4,5,3,1,3,2,8,4,0,15056,1,0,3,2,3,14,5,4,12,8,6,7
56,1,1,1,14,1,2,3,1,4,3,6,1,1,11636,6,1,3,1,3,40,1,3,11,3,11,0
55,0,0,1,13,2,4,3,1,1,3,7,2,2,1016,9,0,3,1,1,38,6,2,6,3,13,16
51,1,0,1,11,2,5,1,1,2,1,2,1,0,4191,3,1,3,2,0,35,6,3,3,2,8,1
55,1,0,0,28,1,3,3,1,2,4,6,2,0,1392,6,0,4,2,0,40,3,1,2,1,11,15
51,0,1,0,13,2,5,4,1,4,5,0,1,2,7272,7,0,3,3,2,32,0,2,0,0,10,1
35,0,0,1,26,3,3,3,0,4,1,5,2,0,17955,4,0,3,3,3,21,1,2,3,1,12,5
47,0,0,1,22,3,4,2,0,1,5,5,2,1,4631,0,0,3,1,0,30,6,3,3,3,14,6
32,0,1,0,28,4,1,2,1,2,1,5,2,0,7172,3,0,3,4,2,16,6,2,7,1,0,5
44,0,0,0,24,3,2,4,1,1,3,2,2,1,10312,9,0,3,3,0,29,1,4,7,3,5,5
51,1,2,0,29,3,5,3,1,2,4,5,2,1,19663,2,1,3,3,3,35,2,1,0,0,5,8
55,0,0,1,9,5,5,2,0,4,3,2,2,0,9906,9,0,4,1,2,39,5,3,3,0,1,7
50,0,0,1,10,5,4,3,0,2,4,8,2,1,18159,4,0,3,4,0,35,2,3,1,0,10,8
41,0,0,1,4,5,4,2,1,2,5,6,2,1,19631,9,1,3,2,1,21,5,2,1,1,7,11
32,0,2,0,17,5,3,1,1,2,1,3,2,1,17462,9,1,3,2,0,14,6,4,12,1,5,5
47,0,1,0,14,2,0,1,1,1,2,2,1,1,9080,5,0,4,1,3,30,6,2,0,0,10,3
59,0,2,1,24,4,0,4,1,1,2,5,3,1,8099,1,0,3,1,1,40,0,2,3,2,12,6
34,0,0,1,18,4,0,4,0,2,4,8,2,1,15916,6,1,3,4,0,20,1,3,1,0,9,4
22,0,0,1,11,3,3,3,0,3,4,2,3,1,8083,2,1,3,1,0,8,4,2,14,12,8,9
46,0,0,0,16,4,0,4,1,1,3,7,2,1,10223,0,0,4,1,2,32,6,1,5,0,9,7
21,0,0,1,1,3,4,3,1,4,2,5,2,1,5940,9,0,3,1,3,4,5,2,1,0,4,0
27,0,0,1,29,4,1,1,0,4,3,3,1,1,4456,2,0,3,4,0,11,5,2,4,4,6,14
34,0,2,1,7,1,1,1,0,2,5,4,4,0,8788,8,0,3,1,0,20,2,3,9,7,5,2
27,0,0,1,28,1,1,2,1,4,2,2,4,0,3711,9,0,4,3,0,12,2,2,22,21,10,14
34,0,0,0,10,4,0,3,1,1,5,1,1,0,12280,5,0,3,4,3,16,6,4,1,1,14,13
37,0,2,1,9,2,1,1,0,3,1,8,3,2,19052,5,0,4,3,1,18,6,3,15,5,4,0
41,0,0,1,27,3,5,1,0,3,3,2,4,1,17531,3,0,3,4,3,24,3,2,19,19,5,7
22,1,1,1,28,4,0,3,0,3,4,5,1,1,13089,7,1,3,3,2,7,5,1,17,14,3,6
51,1,0,1,28,3,5,2,1,4,2,4,1,0,11142,4,0,3,4,2,33,0,1,7,0,2,8
23,0,1,0,25,5,4,2,0,2,3,7,4,0,17749,6,0,3,2,3,5,1,3,6,2,12,11
19,0,0,1,3,4,5,2,1,4,4,4,3,2,16587,8,0,3,1,0,0,1,3,3,0,0,7
30,0,0,1,22,2,4,2,0,2,1,7,1,2,10866,4,0,3,1,0,15,1,2,9,9,0,7
28,1,0,1,23,5,3,1,0,3,2,4,2,0,5531,4,1,3,4,1,11,5,4,5,3,5,5
